customer_id,recency,frequency,monetory,segment
CS1112,14-01-2015,15,1012,P0
CS1113,09-02-2015,20,1490,P0
CS1114,12-02-2015,19,1432,P0
CS1115,05-03-2015,22,1659,P0
CS1116,25-08-2014,13,857,P2
CS1117,02-07-2014,17,1185,P0
CS1118,14-03-2015,15,1011,P0
CS1119,05-03-2015,15,1158,P0
CS1120,06-03-2015,24,1677,P0
CS1121,03-02-2015,26,1524,P0
CS1122,02-02-2015,16,1156,P0
CS1123,27-11-2014,19,1331,P0
CS1124,02-01-2015,18,1127,P0
CS1125,19-02-2015,12,885,P2
CS1126,18-09-2014,19,1165,P0
CS1127,05-02-2015,24,1676,P0
CS1128,31-12-2014,26,1921,P0
CS1129,30-11-2014,12,853,P2
CS1130,13-03-2015,19,1185,P0
CS1131,24-02-2015,14,998,P2
CS1132,17-02-2015,16,1074,P0
CS1133,21-02-2015,19,1413,P0
CS1134,27-11-2014,16,1166,P0
CS1135,15-04-2014,20,1267,P0
CS1136,17-02-2015,20,1339,P0
CS1137,20-01-2015,20,1380,P0
CS1138,03-03-2015,24,1863,P0
CS1139,25-11-2014,18,1245,P0
CS1140,16-02-2015,20,1434,P0
CS1141,22-01-2015,25,1778,P0
CS1142,06-10-2014,22,1847,P0
CS1143,16-08-2014,16,1255,P0
CS1144,11-10-2014,18,1222,P0
CS1145,25-10-2014,27,1967,P0
CS1146,09-03-2015,16,1117,P0
CS1147,12-03-2015,15,1004,P0
CS1148,23-12-2014,25,1733,P0
CS1149,01-03-2015,25,1768,P0
CS1150,17-12-2014,14,1075,P2
CS1151,18-02-2015,16,1040,P0
CS1152,10-03-2015,20,1457,P0
CS1153,10-02-2015,18,1274,P0
CS1154,16-03-2015,23,1436,P0
CS1155,10-11-2014,19,1317,P0
CS1156,07-03-2015,20,1445,P0
CS1157,25-02-2015,21,1427,P0
CS1158,04-12-2014,18,1159,P0
CS1159,08-02-2015,22,1439,P0
CS1160,31-01-2015,20,1380,P0
CS1161,12-03-2015,22,1389,P0
CS1162,25-02-2015,24,1815,P0
CS1163,06-02-2015,18,1290,P0
CS1164,27-02-2015,26,2037,P0
CS1165,12-12-2014,20,1335,P0
CS1166,08-12-2014,19,1507,P0
CS1167,17-11-2014,16,1132,P0
CS1168,25-11-2014,14,916,P2
CS1169,20-12-2014,18,1175,P0
CS1170,13-03-2015,18,1272,P0
CS1171,15-03-2015,22,1555,P0
CS1172,01-07-2014,18,1306,P0
CS1173,26-01-2015,21,1429,P0
CS1174,21-02-2015,23,1554,P0
CS1175,23-01-2015,17,1106,P0
CS1176,15-02-2015,18,1401,P0
CS1177,06-02-2015,17,1310,P0
CS1178,13-02-2015,22,1535,P0
CS1179,29-01-2015,29,2091,P0
CS1180,21-01-2015,23,1637,P0
CS1181,18-01-2015,27,1893,P0
